gene,gene_name,TATA,class,tail-dependence,expression,Spt3,Spt7,Taf1,Taf13,Bdf1Bdf2,Esa1,Med1,Med5,Med10,Med14,Med15,TID,Mot1,Bur6,NCB2,Toa1,Ssl2
YOR312C,RPL20B,TATA-less,TFIID,tail-independent,56.47283573,-1.345770953,-1.699158102,-1.745574662,-2.629797654,-0.948685284,-2.336859129,-0.15125447,-0.043300639,-1.901903964,-2.048698273,0.138287645,-0.033087127,-0.974297903,-0.527698839,-0.672776589,-3.197673369,-3.819700511
YOR261C,RPN8,TATA-less,TFIID,tail-independent,56.45075891,-1.479005048,-1.524483594,-1.601039569,-1.847085717,-2.33522713,-1.931533074,-0.227627748,-0.200458795,-1.691521186,-2.275615315,-0.029608006,-0.021778928,-0.618568451,-0.427900839,-0.654895109,-3.608315148,-4.200804314
YIL075C,RPN2,TATA-less,TFIID,tail-independent,56.43320209,-1.715229067,-1.502663875,-1.818446346,-1.744030368,-1.103982087,-0.774297516,-0.324656268,-0.164573393,-2.096056017,-2.328888749,-0.161061419,-0.086832259,0.221538583,-0.056544959,-0.063175893,-3.436056594,-4.359519345
YLR388W,RPS29A,,TFIID,tail-independent,56.41909636,-1.152536865,-1.753402095,-1.655289953,-2.548273234,-0.669750972,-2.049733921,-0.096662642,0.039109604,-2.428906463,-2.131837214,0.227924813,0.012617723,-1.090281919,-0.132614981,-0.370065557,-3.234534083,-3.323676572
YPL145C,KES1,TATA-less,TFIID,tail-independent,56.30531416,-1.723104719,-1.263654331,-2.05171046,-2.36339187,-1.258336634,-0.800059188,-0.302240357,0.024944663,-1.916542019,-2.272284511,-0.012697283,-0.114654188,-0.692090608,-0.720262988,-0.64009634,-3.177522149,-4.483505586
YGL147C,RPL9A,,TFIID,tail-independent,56.20909844,-1.150339949,-1.491136771,-1.840260082,-2.815984712,-0.652225789,-2.179217794,-0.166113126,0.017282591,-2.556180413,-1.907692478,0.226156435,0.045205991,-1.099056768,-0.448928589,-0.585326343,-3.506582712,-4.120817974
YDR427W,RPN9,TATA-less,TFIID,tail-independent,56.15712416,-1.509454059,-1.190424093,-1.583083072,-1.604341313,-2.11828812,-1.524414675,-0.29070079,-0.048878017,-1.756497872,-2.129199064,-0.025750919,0.032632975,-0.287929958,-0.381594397,-0.326589023,-3.210285818,-4.418650371
YCL031C,RRP7,TATA-less,TFIID,tail-independent,56.06504064,-1.252110858,-1.147686283,-1.734021927,-1.936571645,-2.776340243,-2.749695734,-0.211992767,-0.071486458,-1.012465018,-1.386752553,0.227748106,0.218987064,-0.914745882,-0.800689251,-0.828777836,-2.918344748,-3.852870764
YOR276W,CAF20,TATA-less,TFIID,tail-independent,55.75947614,-1.592621623,-1.54036878,-1.732727539,-2.505546932,-2.630657489,-1.919119396,-0.325229998,-0.23465705,-1.89836631,-2.311600839,0.022209451,0.091618328,-1.17011489,-0.960791707,-1.078438106,-3.356283422,-4.117745408
YNR051C,BRE5,,TFIID,tail-independent,55.58328361,-1.780236931,-1.412307791,-2.063982843,-2.457853716,-2.991359878,-1.833720796,-0.21242267,0.008858626,-1.607160146,-2.017211873,0.001147683,0.086758035,-0.815860716,-0.689268992,-0.64554654,-3.138533933,-4.205220352
YDL185W,VMA1,TATA-less,TFIID,tail-independent,55.57948458,-1.744188473,-1.43465823,-1.474552252,-2.10309865,-1.339820083,-1.199816857,-0.234233261,-0.081854105,-1.866057571,-1.423486554,0.023523489,-0.133907331,-0.121335433,-0.408435681,-0.387427655,-1.960635507,-3.299557829
YIL142W,CCT2,TATA-less,TFIID,tail-independent,55.43749654,-1.339333246,-1.552135275,-1.933975996,-2.003927679,-1.958877007,-2.159710722,-0.282584803,-0.161562406,-1.886805616,-2.134252824,0.060566691,0.097257531,-0.416396905,-0.595384513,-0.576727821,-3.735984186,-4.633088907
YGL030W,RPL30,TATA-less,TFIID,tail-independent,55.2262094,-0.678635707,-1.219509594,-1.867641955,-2.473399346,-0.866771291,-0.594013353,-0.025499987,0.075093185,-1.629642692,-2.119984469,0.118364439,0.011587088,-0.032004819,0.308924934,0.471469812,-2.870765881,-3.951754725
YMR012W,CLU1,TATA-less,TFIID,tail-independent,55.09313002,-1.868735147,-1.618106333,-2.238642388,-2.560031052,-1.658516134,-0.901663128,-0.2377564,0.040528405,-2.248883607,-2.555529156,0.0772854,-0.026700536,-0.66331943,-0.609168048,-0.54714508,-3.253608259,-4.405167582
YPR108W,RPN7,TATA-less,TFIID,tail-independent,55.08418549,-1.643707634,-1.275864992,-1.700685478,-2.047112944,-3.379544506,-1.842248294,-0.311318592,-0.045584881,-2.20336378,-2.513355766,0.011719462,0.022694003,-0.267582459,-0.47659165,-0.49444107,-3.689979331,-4.681939967
YBR067C,TIP1,TATA-containing,TFIID,tail-independent,54.95826487,-1.516372137,-0.787256333,-0.670790069,-2.378310632,-0.456723332,-1.788245885,-0.089497176,0.144786508,-0.662317377,-0.611434712,-0.202697712,-0.408437988,-0.276977858,-0.865892502,-0.661555504,-2.999612335,-3.804409489
YBL028C,YBL028C,TATA-less,TFIID,tail-independent,54.86923424,-1.022414989,-2.092642049,-2.069018035,-1.987666385,-1.96293504,-3.038247973,-0.399600689,-0.123864596,-2.104855829,-2.511801514,0.548343909,0.284698485,-1.283667759,-0.453369826,-0.449528882,-5.105370397,-5.504517466
YDL208W,NHP2,TATA-less,TFIID,tail-independent,54.81699373,-1.327380911,-1.491432211,-2.184440918,-2.641399168,-2.081528951,-2.496729925,-0.374098313,-0.19834874,-1.904007292,-2.109794795,0.202831616,0.188664414,-1.424632212,-0.805621685,-1.081259403,-3.70014375,-4.560096042
YER102W,RPS8B,TATA-less,TFIID,tail-independent,54.74969676,-1.186876803,-1.485006103,-1.862380298,-2.866708139,-1.077992482,-2.478886753,-0.229432591,-0.080660193,-2.587524078,-2.330445178,0.282260622,-0.066283868,-1.417701893,-0.76014384,-0.869260083,-3.18211579,-3.91637769
YKL156W,RPS27A,TATA-less,TFIID,tail-independent,54.6347812,-0.854982218,-1.540173991,-2.084364918,-2.414635676,-0.721886604,-2.044318355,-0.099848275,-0.038001536,-1.922090164,-1.910246541,0.183341111,0.095344354,-0.841964371,-0.412278448,-0.491489331,-3.458458427,-4.635007372
YOR122C,PFY1,TATA-less,TFIID,tail-independent,54.16197062,-1.102092079,-0.77820038,-1.731538235,-2.302519014,-0.765232167,-1.405459691,-0.196004218,-0.000359658,-2.376944505,-2.359322039,0.036074238,0.011332333,-0.196745852,-0.300965974,-0.488849812,-3.133266531,-3.977527778
YOR310C,NOP58,TATA-less,TFIID,tail-independent,54.0108295,-1.008321959,-1.620388045,-2.243498882,-2.682707634,-1.543277322,-2.228684904,-0.245918316,-0.256248266,-1.619154472,-1.838622376,0.240817944,0.088720149,-1.096061428,-0.789040645,-0.727652605,-3.352114815,-4.411780325
YDL130W,RPP1B,TATA-less,TFIID,tail-independent,53.93484799,-1.408636544,-1.455306027,-1.622692002,-2.491938323,-0.823098265,-1.008743627,-0.229308041,0.064691089,-2.642125994,-2.015939992,0.15825766,-0.108219866,-0.987779781,-0.540502879,-0.671328466,-2.872797397,-3.322212062
YOR270C,VPH1,TATA-less,TFIID,tail-independent,53.71246411,-1.698237354,-1.597948572,-2.119669823,-2.399270494,-1.605464425,-0.641713156,-0.237999451,-0.049647395,-1.688564631,-1.737355547,0.024470928,-0.123519484,-0.468122059,-0.56484223,-0.569589795,-2.485540564,-3.991210831
YGL215W,CLG1,TATA-less,TFIID,tail-independent,53.57859551,-1.1005473,-1.084215294,-1.783706373,-1.887716646,-1.065980542,-1.488216113,-0.207716273,-0.0020595,-1.246388479,-1.56635203,0.074832803,-0.03274794,-0.301418163,-0.675756448,-0.599771407,-1.915971225,-3.278662202
YGL105W,ARC1,TATA-less,TFIID,tail-independent,53.57718562,-1.676290597,-1.563409347,-1.599740713,-2.047284252,-2.16864308,-1.654387106,-0.34140605,-0.183249418,-1.841656233,-1.786716128,0.173780376,0.029016467,-1.01150455,-0.938776213,-0.871566539,-2.580917459,-3.522622492
YLR421C,RPN13,TATA-less,TFIID,tail-independent,53.55686098,-1.465902752,-1.025816471,-1.600001702,-2.222691305,-3.45206459,-2.008275812,-0.240767449,-0.237128052,-2.239351112,-2.2102769,0.127219876,0.074689778,-0.546001554,-0.506986452,-0.746216196,-4.176374252,-4.919869726
YDR233C,RTN1,TATA-containing,TFIID,tail-independent,53.25483568,-1.26608897,-1.236330382,-1.742451568,-2.935171142,-0.464485654,-0.921927486,-0.220098714,0.043984671,-2.489028775,-2.753966939,-0.074688351,-0.100270696,0.146022665,0.126962071,0.157239744,-3.222079167,-4.551398347
YDR054C,CDC34,TATA-less,TFIID,tail-independent,53.21585672,-1.516876661,-1.459251222,-2.235581679,-2.374355639,-0.624036046,-0.131696693,-0.349646571,-0.082606562,-1.86532094,-2.388073493,0.078342274,-0.015834945,-0.415251187,-0.628194936,-0.514356393,-3.972476544,-4.761176384
YPR074C,TKL1,TATA-containing,TFIID,tail-dependent,52.94124647,-0.872249853,-1.108344365,-1.225127765,-1.744224533,-0.45715412,-0.280439931,-0.249465365,-0.239987569,-2.265067713,-2.415869004,-0.379635486,-0.380964969,0.349782675,-0.012953788,-0.062497209,-2.979089854,-3.901480162
YDR023W,SES1,TATA-containing,TFIID,tail-independent,52.83568218,-1.444686934,-1.47555329,-1.756016827,-2.498970887,-1.966892564,-1.879642812,-0.172171328,-0.21687451,-1.900662342,-1.716642175,0.172805873,-0.006473991,-1.033026768,-1.273722139,-1.192094494,-2.848983635,-4.272120505
YML026C,RPS18B,TATA-less,TFIID,tail-independent,52.57824715,-0.960096686,-1.58278713,-2.004416272,-2.760813699,-1.092311691,-1.712855406,-0.170482514,0.05218491,-2.178841706,-1.956263398,0.122192317,-0.010123683,-1.103706891,-0.67548139,-0.679818429,-3.509921937,-4.3594028
YCR093W,CDC39,TATA-less,TFIID,tail-independent,52.38657617,-1.901083038,-1.543517574,-2.145089217,-2.282857616,-2.670624809,-1.882143926,-0.140934127,0.025915292,-1.852021432,-2.143268951,-0.09249253,-0.124155575,-0.487051779,-0.524542561,-0.436368434,-3.470042652,-4.690669275
YPL226W,NEW1,TATA-less,TFIID,tail-independent,52.11986173,-1.295446237,-1.917850568,-2.011969276,-2.191417311,-1.24399729,-2.100615075,-0.323455156,-0.254247379,-1.787584093,-1.914158834,0.07610593,-0.03513489,-0.158454671,-0.030136739,0.06266841,-2.638982071,-4.150204011
YJR094W-A,RPL43B,TATA-less,TFIID,tail-independent,51.99947919,-0.650372421,-1.321638772,-2.214479743,-2.691167606,-0.945805314,-1.861513202,-0.207990976,-0.092097879,-2.205478336,-2.031522796,0.316577543,0.036099341,-1.388848289,-0.677612469,-0.930377958,-3.731867335,-4.548133998
YDL074C,BRE1,TATA-less,TFIID,tail-independent,51.91653552,-1.721798575,-1.22707429,-1.500491352,-1.796539698,-1.924849965,-1.449254297,-0.211237448,-0.028387449,-1.294678541,-1.558597888,0.062681566,-0.016416595,-0.420118666,-0.494795081,-0.535882165,-2.333509579,-3.779996711
YPL239W,YAR1,TATA-less,TFIID,tail-independent,51.85058383,-1.341402161,-1.792798508,-2.464466696,-2.831118269,-1.511591329,-1.831288875,-0.60194635,-0.334997502,-2.182595264,-2.313767374,0.277602735,0.415208912,-0.432371276,-0.226164438,-0.28004436,-4.854443687,-5.427837175
YDL137W,ARF2,,TFIID,tail-independent,51.75599772,-1.798985382,-1.258249545,-1.632765527,-2.375012913,-1.921016062,-2.282275085,-0.273739604,-0.103507691,-3.324323936,-3.040619643,-0.063729351,-0.210615254,-0.848180787,-0.699944956,-0.987632816,-3.35713517,-4.371232128
YDL082W,RPL13A,TATA-less,TFIID,tail-independent,51.54319504,-1.23229917,-1.587287084,-1.723337003,-2.686249944,-1.302869186,-1.775722167,-0.252663603,-0.086063319,-2.183772619,-2.008188206,0.210933706,0.080573776,-1.481667311,-0.776204515,-0.902258941,-3.390368433,-4.352088531
YML126C,ERG13,TATA-containing,TFIID,tail-independent,51.5378894,-1.134431735,-0.636423691,-1.460464821,-2.295416756,-0.963984343,-1.644027226,-0.439285046,-0.299894101,-2.276247844,-2.63322823,0.215579901,-0.024086083,0.259074835,-0.009849024,-0.082704589,-4.296927969,-4.614145241
YPR041W,TIF5,TATA-less,TFIID,tail-independent,51.46108614,-1.204337421,-1.64223569,-2.048354366,-2.314256421,-1.559724722,-1.601540161,-0.300610179,-0.117112675,-1.512460448,-1.664435221,0.192497415,0.168364416,-0.36707581,-0.240667594,-0.30301429,-2.94514605,-4.351318944
YOR293W,RPS10A,TATA-less,TFIID,tail-independent,51.19020214,-1.133750131,-1.657215146,-1.907637866,-2.695126587,-1.094841405,-1.604839617,-0.128158151,-0.118609463,-2.281288295,-1.949537402,0.175864145,-0.075392029,-1.142230979,-0.463866419,-0.616452518,-3.0805505,-3.736803484
YDR060W,MAK21,,TFIID,tail-independent,51.18294587,-1.122727148,-1.47734346,-2.029910371,-2.398875951,-2.699624938,-2.465618652,-0.199560301,-0.133899339,-0.88132881,-1.147042776,0.365202415,0.190042597,-1.485374111,-0.774944558,-0.643069696,-2.397991852,-3.629458868
