"","nT","1mut_prob","2mut_prob","3mut_prob"
"1",0,1,1,1
"2",1,0.980392156862745,1,1
"3",2,0.979401637147158,0.999600159936026,1
"4",3,0.978362184195257,0.999579545277586,0.999992000064
"5",4,0.977271494711997,0.999557868253928,0.999991587439193
"6",5,0.976127168749558,0.999535074166357,0.999991153532
"7",6,0.974926706879043,0.999511105505131,0.999990697244738
"8",7,0.973667507415913,0.999485901805553,0.999990217423108
"9",8,0.97234686371873,0.99945939949675,0.99998971285328
"10",9,0.970961961583012,0.99943153174279,0.99998918225882
"11",10,0.969509876754281,0.999402228275732,0.999988624297464
"12",11,0.967987572586874,0.999371415220228,0.999988037557721
"13",12,0.966391897877728,0.999339014909243,0.999987420555302
"14",13,0.964719584907079,0.999304945690463,0.999986771729369
"15",14,0.962967247720969,0.999269121722924,0.999986089438585
"16",15,0.961131380693483,0.999231452763379,0.999985371956966
"17",16,0.959208357409788,0.999191843941911,0.99998461746951
"18",17,0.957194429914371,0.999150195526238,0.999983824067614
"19",18,0.955085728372164,0.999106402674188,0.999982989744241
"20",19,0.952878261193717,0.999060355173742,0.999982112388849
"21",20,0.950567915679009,0.999011937170049,0.999981189782049
"22",21,0.948150459237902,0.998961026878784,0.999980219589999
"23",22,0.945621541248664,0.998907496285182,0.999979199358494
"24",23,0.942976695619228,0.998851210828065,0.999978126506768
"25",24,0.940211344118976,0.998792029068136,0.999976998320963
"26",25,0.937320800551691,0.998729802339788,0.999975811947267
"27",26,0.934300275842876,0.998664374385649,0.999974564384702
"28",27,0.931144884116768,0.998595580973039,0.99997325247753
"29",28,0.927849649839994,0.998523249491489,0.999971872907281
"30",29,0.924409516109836,0.998447198530437,0.999970422184357
"31",30,0.920819354165328,0.998367237436164,0.999968896639211
"32",31,0.917073974198795,0.998283165847023,0.999967292413074
"33",32,0.913168137543842,0.998194773205949,0.999965605448194
"34",33,0.909096570313014,0.998101838249214,0.999963831477581
"35",34,0.904853978554269,0.998004128470345,0.99996196601422
"36",35,0.900435064989851,0.997901399558086,0.999960004339731
"37",36,0.895834547393993,0.997793394807239,0.999957941492439
"38",37,0.891047178656891,0.997679844501182,0.999955772254836
"39",38,0.886067768571558,0.997560465264819,0.999953491140393
"40",39,0.880891207367189,0.997434959386665,0.999951092379695
"41",40,0.875512490997562,0.997303014108755,0.999948569905859
"42",41,0.869926748175611,0.99716430088298,0.999945917339205
"43",42,0.86412926912555,0.99701847459246,0.999943127971137
"44",43,0.858115536001851,0.996865172736481,0.999940194747186
"45",44,0.851881254899919,0.996704014577524,0.999937110249194
"46",45,0.845422389356593,0.996534600248834,0.99993386667657
"47",46,0.838735195209788,0.996356509820982,0.999930455826583
"48",47,0.831816256655793,0.99616930232581,0.999926869073644
"49",48,0.824662523310388,0.995972514736134,0.99992309734752
"50",49,0.817271348046261,0.995765660899554,0.999919131110427
"51",50,0.809640525344782,0.995548230424685,0.999914960332939
"52",51,0.801768329865466,0.99531968751813,0.999910574468671
"53",52,0.793653554902174,0.995079469770469,0.999905962427643
"54",53,0.785295550361913,0.994826986889579,0.999901112548288
"55",54,0.77669425987083,0.994561619379566,0.99989601256801
"56",55,0.767850256583584,0.994282717163616,0.999890649592236
"57",56,0.758764777247563,0.993989598149108,0.999885010061873
"58",57,0.749439754053435,0.993681546733343,0.999879079719092
"59",58,0.739877843789222,0.993357812248318,0.999872843571354
"60",59,0.730082453807426,0.993017607343006,0.99986628585359
"61",60,0.720057764314611,0.992660106301722,0.999859389988434
"62",61,0.709808746501112,0.992284443297216,0.999852138544416
"63",62,0.699341176045842,0.991889710577281,0.999844513192006
"64",63,0.688661641558046,0.991474956583796,0.999836494657408
"65",64,0.677777547554699,0.991039184003303,0.99982806267397
"66",65,0.666697111619056,0.990581347748398,0.999819195931113
"67",66,0.655429355442598,0.990100352869477,0.999809872020633
"68",67,0.643984089518705,0.989595052396612,0.999800067380252
"69",68,0.632371891331233,0.989064245111674,0.99978975723427
"70",69,0.620604076963585,0.988506673251123,0.999778915531184
"71",70,0.608692666142619,0.987921020140343,0.999767514878102
"72",71,0.596650340825191,0.987305907760781,0.9997555264718
"73",72,0.584490397531374,0.986659894251716,0.999742920026254
"74",73,0.572226693725522,0.985981471348991,0.999729663696455
"75",74,0.559873588641997,0.985269061763735,0.999715723998331
"76",75,0.547445879044448,0.984521016504751,0.999701065724574
"77",76,0.534958730493631,0.983735612149063,0.999685651856159
"78",77,0.522427604776812,0.982911048065982,0.999669443469353
"79",78,0.509868184219646,0.982045443600979,0.999652399637958
"80",79,0.497296293657367,0.981136835226749,0.999634477330584
"81",80,0.48472782088455,0.980183173669978,0.999615631302665
"82",81,0.472178636430507,0.979182321023603,0.999595813982977
"83",82,0.459664513519755,0.978132047855739,0.999574975354375
"84",83,0.447201049073569,0.977030030327961,0.999553062828449
"85",84,0.434803586589608,0.975873847337249,0.999530021113812
"86",85,0.422487141702338,0.974660977697695,0.99950579207768
"87",86,0.410266331178621,0.973388797379974,0.999480314600423
"88",87,0.398155306041531,0.972054576828622,0.999453524422732
"89",88,0.386167689443,0.970655478379412,0.999425353985032
"90",89,0.374316519824135,0.969188553801411,0.999395732258746
"91",90,0.36261419981307,0.967650741990866,0.99936458456903
"92",91,0.351072451216371,0.966038866846684,0.999331832408523
"93",92,0.339702276363403,0.964349635360086,0.999297393241694
"94",93,0.32851392596612,0.96257963595396,0.999261180299303
"95",94,0.317516873561388,0.960725337110504,0.999223102362506
"96",95,0.306719796511366,0.95878308632894,0.999183063536072
"97",96,0.296130563451214,0.956749109458391,0.999140963010199
"98",97,0.285756227994121,0.954619510454368,0.999096694810363
"99",98,0.27560302843245,0.952390271610741,0.999050147534609
"100",99,0.265676393111643,0.950057254322537,0.999001204077689
"101",100,0.255980951101059,0.947616200438307,0.99894974134139
