5073
ICL2	ICL2	MissingGeneType
HAL1	HAL1	MissingGeneType
AIM45	AIM45	MissingGeneType
YPR003C	YPR003C	MissingGeneType
PDH1	PDH1	MissingGeneType
CIT3	CIT3	MissingGeneType
HAT1	HAT1	MissingGeneType
SNF8	SNF8	MissingGeneType
ULA1	ULA1	MissingGeneType
LSP1	LSP1	MissingGeneType
AEP3	AEP3	MissingGeneType
NCR1	NCR1	MissingGeneType
TFC8	TFC8	MissingGeneType
CHL1	CHL1	MissingGeneType
RET3	RET3	MissingGeneType
TAF3	TAF3	MissingGeneType
RRP12	RRP12	MissingGeneType
MRPS16	MRPS16	MissingGeneType
HST2	HST2	MissingGeneType
SWI1	SWI1	MissingGeneType
IRC15	IRC15	MissingGeneType
CTF19	CTF19	MissingGeneType
VTC3	VTC3	MissingGeneType
ULP1	ULP1	MissingGeneType
RAD1	RAD1	MissingGeneType
MET12	MET12	MissingGeneType
RMI1	RMI1	MissingGeneType
SKS1	SKS1	MissingGeneType
ERG10	ERG10	MissingGeneType
SUV3	SUV3	MissingGeneType
TRM44	TRM44	MissingGeneType
PHO85	PHO85	MissingGeneType
SVL3	SVL3	MissingGeneType
YPL034W	YPL034W	MissingGeneType
PMA2	PMA2	MissingGeneType
EGD1	EGD1	MissingGeneType
MET31	MET31	MissingGeneType
ISM1	ISM1	MissingGeneType
SSN3	SSN3	MissingGeneType
NOP4	NOP4	MissingGeneType
VPS16	VPS16	MissingGeneType
ELC1	ELC1	MissingGeneType
SGF11	SGF11	MissingGeneType
CAM1	CAM1	MissingGeneType
DIG1	DIG1	MissingGeneType
MNN9	MNN9	MissingGeneType
ARL3	ARL3	MissingGeneType
OAZ1	OAZ1	MissingGeneType
KTR6	KTR6	MissingGeneType
LEE1	LEE1	MissingGeneType
LGE1	LGE1	MissingGeneType
SUR1	SUR1	MissingGeneType
PDR12	PDR12	MissingGeneType
GRX5	GRX5	MissingGeneType
ALD6	ALD6	MissingGeneType
YPL062W	YPL062W	MissingGeneType
TIM50	TIM50	MissingGeneType
CWC27	CWC27	MissingGeneType
VPS28	VPS28	MissingGeneType
YPL068C	YPL068C	MissingGeneType
BTS1	BTS1	MissingGeneType
MUK1	MUK1	MissingGeneType
YPL071C	YPL071C	MissingGeneType
UBP16	UBP16	MissingGeneType
YTA6	YTA6	MissingGeneType
GCR1	GCR1	MissingGeneType
GPI2	GPI2	MissingGeneType
YPL077C	YPL077C	MissingGeneType
ATP4	ATP4	MissingGeneType
RPL21B	RPL21B	MissingGeneType
YPL080C	YPL080C	MissingGeneType
RPS9A	RPS9A	MissingGeneType
MOT1	MOT1	MissingGeneType
SEN54	SEN54	MissingGeneType
BRO1	BRO1	MissingGeneType
SEC16	SEC16	MissingGeneType
ELP3	ELP3	MissingGeneType
YDC1	YDC1	MissingGeneType
YPL088W	YPL088W	MissingGeneType
RLM1	RLM1	MissingGeneType
RPS6A	RPS6A	MissingGeneType
GLR1	GLR1	MissingGeneType
SSU1	SSU1	MissingGeneType
NOG1	NOG1	MissingGeneType
SEC62	SEC62	MissingGeneType
EEB1	EEB1	MissingGeneType
PNG1	PNG1	MissingGeneType
ERI1	ERI1	MissingGeneType
MSY1	MSY1	MissingGeneType
MGR2	MGR2	MissingGeneType
ATG21	ATG21	MissingGeneType
ELP4	ELP4	MissingGeneType
FMP30	FMP30	MissingGeneType
MSD1	MSD1	MissingGeneType
SYH1	SYH1	MissingGeneType
SSE1	SSE1	MissingGeneType
YPL108W	YPL108W	MissingGeneType
GDE1	GDE1	MissingGeneType
CAR1	CAR1	MissingGeneType
PEX25	PEX25	MissingGeneType
YPL113C	YPL113C	MissingGeneType
BEM3	BEM3	MissingGeneType
HOS3	HOS3	MissingGeneType
IDI1	IDI1	MissingGeneType
MRP51	MRP51	MissingGeneType
DBP1	DBP1	MissingGeneType
YPL119C-A	YPL119C-A	MissingGeneType
VPS30	VPS30	MissingGeneType
TFB2	TFB2	MissingGeneType
RNY1	RNY1	MissingGeneType
SPC29	SPC29	MissingGeneType
KAP120	KAP120	MissingGeneType
NAN1	NAN1	MissingGeneType
HHO1	HHO1	MissingGeneType
TBF1	TBF1	MissingGeneType
TAF14	TAF14	MissingGeneType
RPL5	RPL5	MissingGeneType
COX11	COX11	MissingGeneType
RDS2	RDS2	MissingGeneType
ODC1	ODC1	MissingGeneType
ISU1	ISU1	MissingGeneType
GIP3	GIP3	MissingGeneType
SPP1	SPP1	MissingGeneType
UME1	UME1	MissingGeneType
MKK2	MKK2	MissingGeneType
FRK1	FRK1	MissingGeneType
RPL33A	RPL33A	MissingGeneType
POC4	POC4	MissingGeneType
KES1	KES1	MissingGeneType
NOP53	NOP53	MissingGeneType
PXA1	PXA1	MissingGeneType
PPT2	PPT2	MissingGeneType
ATG5	ATG5	MissingGeneType
YPL150W	YPL150W	MissingGeneType
PRP46	PRP46	MissingGeneType
RRD2	RRD2	MissingGeneType
YPL152W-A	YPL152W-A	MissingGeneType
RAD53	RAD53	MissingGeneType
PEP4	PEP4	MissingGeneType
KIP2	KIP2	MissingGeneType
PRM4	PRM4	MissingGeneType
TGS1	TGS1	MissingGeneType
AIM44	AIM44	MissingGeneType
PET20	PET20	MissingGeneType
CDC60	CDC60	MissingGeneType
BEM4	BEM4	MissingGeneType
YPL162C	YPL162C	MissingGeneType
SVS1	SVS1	MissingGeneType
MLH3	MLH3	MissingGeneType
SET6	SET6	MissingGeneType
ATG29	ATG29	MissingGeneType
MEX67	MEX67	MissingGeneType
DAP1	DAP1	MissingGeneType
OYE3	OYE3	MissingGeneType
COX10	COX10	MissingGeneType
MRPL40	MRPL40	MissingGeneType
NIP100	NIP100	MissingGeneType
SPT14	SPT14	MissingGeneType
